window_id,id,window_start,window_end,target_date,target_distance_km,target_distance_label,target_seconds,target_time,window_days,activity_days,rest_days
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-06_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-01-10,2016-02-06,2016-02-06,5.0,5.0 km,1571.3775811209441,26:11,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-06_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-01-10,2016-02-06,2016-02-06,10.0,10.0 km,3199.578313253012,53:20,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-10_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-01-14,2016-02-10,2016-02-10,5.0,5.0 km,1567.139240506329,26:07,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-14_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-01-18,2016-02-14,2016-02-14,5.0,5.0 km,1464.0319410319412,24:24,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-14_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-01-18,2016-02-14,2016-02-14,10.0,10.0 km,2924.391304347826,48:44,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-22_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-01-26,2016-02-22,2016-02-22,5.0,5.0 km,1468.960244648318,24:29,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-28_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-02-01,2016-02-28,2016-02-28,5.0,5.0 km,1508.4505494505495,25:08,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-28_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-02-01,2016-02-28,2016-02-28,10.0,10.0 km,3010.9183006535945,50:11,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-02-28_15.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-02-01,2016-02-28,2016-02-28,15.0,15.0 km,4595.46875,01:16:35,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-03-20_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-02-22,2016-03-20,2016-03-20,5.0,5.0 km,1460.3770883054892,24:20,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-03-25_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-02-27,2016-03-25,2016-03-25,5.0,5.0 km,1424.0,23:44,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-03-27_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-02-29,2016-03-27,2016-03-27,5.0,5.0 km,1436.8733031674208,23:57,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-04-04_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-03-08,2016-04-04,2016-04-04,5.0,5.0 km,1417.1599999999999,23:37,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-04-19_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-03-23,2016-04-19,2016-04-19,5.0,5.0 km,2707.8941798941796,45:08,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2016-04-24_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-03-28,2016-04-24,2016-04-24,5.0,5.0 km,1288.6688741721855,21:29,28,3,25
