athlete_id,activity_file,zip_status,download_status,extraction_status,local_path,zip_size_bytes,activity_size_bytes,timestamp,error
0066cbd9-2072-472f-8018-2e320f0b2e99,2016_09_06_07_08_53.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0066cbd9-2072-472f-8018-2e320f0b2e99\2016_09_06_07_08_53.csv,96131004,57023,2026-09-24 03:18:53,
0066cbd9-2072-472f-8018-2e320f0b2e99,2016_09_18_12_13_42.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0066cbd9-2072-472f-8018-2e320f0b2e99\2016_09_18_12_13_42.csv,96131004,79938,2026-09-24 03:18:53,
008bc3f8-9a19-455d-8193-a5cb87d19b58,2018_02_09_16_28_34.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\008bc3f8-9a19-455d-8193-a5cb87d19b58\2018_02_09_16_28_34.csv,1507752,61994,2026-09-24 03:18:58,
0138f4fb-d24d-4d61-a605-4b227eaa1202,2020_05_01_09_06_53.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0138f4fb-d24d-4d61-a605-4b227eaa1202\2020_05_01_09_06_53.csv,219630,78190,2026-09-24 03:19:04,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_04_16_44_36.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_01_04_16_44_36.csv,30261542,52908,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_10_13_46_17.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_01_10_13_46_17.csv,30261542,67836,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_12_16_53_19.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_01_12_16_53_19.csv,30261542,64016,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_17_12_22_00.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_01_17_12_22_00.csv,30261542,65256,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_23_14_10_50.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_01_23_14_10_50.csv,30261542,59127,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_24_12_10_15.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_01_24_12_10_15.csv,30261542,66383,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_30_12_46_33.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_01_30_12_46_33.csv,30261542,66660,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_02_06_14_04_03.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_02_06_14_04_03.csv,30261542,95983,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_02_10_16_52_54.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_02_10_16_52_54.csv,30261542,62457,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_02_14_12_24_34.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_02_14_12_24_34.csv,30261542,102266,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_02_22_16_57_00.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_02_22_16_57_00.csv,30261542,61438,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_02_28_12_30_11.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_02_28_12_30_11.csv,30261542,113598,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_03_05_15_14_16.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_03_05_15_14_16.csv,30261542,7864,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_03_13_16_30_54.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_03_13_16_30_54.csv,30261542,16391,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_03_20_13_03_51.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_03_20_13_03_51.csv,30261542,61418,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_03_25_11_27_51.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_03_25_11_27_51.csv,30261542,61997,2026-09-24 03:19:10,
0147e40d-85b6-4816-9048-86f03c3d6388,2016_03_27_15_19_56.csv,MATCHED,DOWNLOADED,EXTRACTED,c:\Users\admin\Desktop\CAPSTONE GAME TIME\00_raw\granular\0147e40d-85b6-4816-9048-86f03c3d6388\2016_03_27_15_19_56.csv,30261542,60296,2026-09-24 03:19:10,
