athlete_id,activity_file,zip_status,osf_zip_name,osf_zip_path,osf_download_url,osf_api_url,activity_status
0066cbd9-2072-472f-8018-2e320f0b2e99,2016_09_06_07_08_53.csv,MATCHED,0066cbd9-2072-472f-8018-2e320f0b2e99.zip,/0066cbd9-2072-472f-8018-2e320f0b2e99.zip,https://osf.io/download/gjwrp/,https://api.osf.io/v2/files/5c7852d282a3950018cf3ab0/,NOT_CHECKED_YET
0066cbd9-2072-472f-8018-2e320f0b2e99,2016_09_18_12_13_42.csv,MATCHED,0066cbd9-2072-472f-8018-2e320f0b2e99.zip,/0066cbd9-2072-472f-8018-2e320f0b2e99.zip,https://osf.io/download/gjwrp/,https://api.osf.io/v2/files/5c7852d282a3950018cf3ab0/,NOT_CHECKED_YET
008bc3f8-9a19-455d-8193-a5cb87d19b58,2018_02_09_16_28_34.csv,MATCHED,008bc3f8-9a19-455d-8193-a5cb87d19b58.zip,/008bc3f8-9a19-455d-8193-a5cb87d19b58.zip,https://osf.io/download/nz4jk/,https://api.osf.io/v2/files/5e260f77675e0e01826b58e7/,NOT_CHECKED_YET
0138f4fb-d24d-4d61-a605-4b227eaa1202,2020_05_01_09_06_53.csv,MATCHED,0138f4fb-d24d-4d61-a605-4b227eaa1202.zip,/0138f4fb-d24d-4d61-a605-4b227eaa1202.zip,https://osf.io/download/5ygm9/,https://api.osf.io/v2/files/5eb19c390ffc0501916f696a/,NOT_CHECKED_YET
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_04_16_44_36.csv,MATCHED,0147e40d-85b6-4816-9048-86f03c3d6388.zip,/0147e40d-85b6-4816-9048-86f03c3d6388.zip,https://osf.io/download/rb9qu/,https://api.osf.io/v2/files/5eb19c6462d4ab01706c4d23/,NOT_CHECKED_YET
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_10_13_46_17.csv,MATCHED,0147e40d-85b6-4816-9048-86f03c3d6388.zip,/0147e40d-85b6-4816-9048-86f03c3d6388.zip,https://osf.io/download/rb9qu/,https://api.osf.io/v2/files/5eb19c6462d4ab01706c4d23/,NOT_CHECKED_YET
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_12_16_53_19.csv,MATCHED,0147e40d-85b6-4816-9048-86f03c3d6388.zip,/0147e40d-85b6-4816-9048-86f03c3d6388.zip,https://osf.io/download/rb9qu/,https://api.osf.io/v2/files/5eb19c6462d4ab01706c4d23/,NOT_CHECKED_YET
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_17_12_22_00.csv,MATCHED,0147e40d-85b6-4816-9048-86f03c3d6388.zip,/0147e40d-85b6-4816-9048-86f03c3d6388.zip,https://osf.io/download/rb9qu/,https://api.osf.io/v2/files/5eb19c6462d4ab01706c4d23/,NOT_CHECKED_YET
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_23_14_10_50.csv,MATCHED,0147e40d-85b6-4816-9048-86f03c3d6388.zip,/0147e40d-85b6-4816-9048-86f03c3d6388.zip,https://osf.io/download/rb9qu/,https://api.osf.io/v2/files/5eb19c6462d4ab01706c4d23/,NOT_CHECKED_YET
0147e40d-85b6-4816-9048-86f03c3d6388,2016_01_24_12_10_15.csv,MATCHED,0147e40d-85b6-4816-9048-86f03c3d6388.zip,/0147e40d-85b6-4816-9048-86f03c3d6388.zip,https://osf.io/download/rb9qu/,https://api.osf.io/v2/files/5eb19c6462d4ab01706c4d23/,NOT_CHECKED_YET
